epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,505.051,0.57423,0.37513,0.00588,0.92026,0.90718,0.94473,0.73681,0.57914,0.33392,0.00513,0.0107938,0.00359793,0.0107938,0.00359793,0.0908053,0.0836094,0.0107938,0.00359793
2,895.216,0.58464,0.39351,0.00611,0.90558,0.91064,0.94264,0.76396,0.50425,0.3199,0.00492,0.0215925,0.00719749,0.0215925,0.00719749,0.081604,0.067209,0.0215925,0.00719749
3,1344.77,0.60098,0.41316,0.00642,0.93017,0.88405,0.9339,0.74594,0.52313,0.33799,0.00506,0.0323859,0.0107953,0.0323859,0.0107953,0.0723974,0.0508068,0.0323859,0.0107953
4,1687.43,0.62917,0.451,0.00682,0.89684,0.88885,0.93115,0.73738,0.53273,0.33896,0.00544,0.04317,0.01439,0.04317,0.01439,0.0631816,0.0344015,0.04317,0.01439
5,2027.05,0.66538,0.49956,0.00753,0.89536,0.8804,0.92585,0.7197,0.56896,0.3717,0.00604,0.053941,0.0179803,0.053941,0.0179803,0.0539526,0.0179919,0.053941,0.0179803
6,2395.41,0.69604,0.54912,0.00822,0.87365,0.87155,0.91948,0.70727,0.56992,0.38925,0.00618,0.0539176,0.0179725,0.0539176,0.0179725,0.0539176,0.0179725,0.0539176,0.0179725
7,2742.1,0.70028,0.55586,0.00836,0.90295,0.8842,0.93805,0.73373,0.55777,0.38071,0.00597,0.0538814,0.0179605,0.0538814,0.0179605,0.0538814,0.0179605,0.0538814,0.0179605
8,3110.29,0.69259,0.54482,0.0082,0.90074,0.87383,0.92973,0.71133,0.56429,0.36629,0.00589,0.0538386,0.0179462,0.0538386,0.0179462,0.0538386,0.0179462,0.0538386,0.0179462
9,3469.69,0.69128,0.5506,0.00827,0.89189,0.88572,0.92674,0.71678,0.57908,0.37878,0.0062,0.0537892,0.0179297,0.0537892,0.0179297,0.0537892,0.0179297,0.0537892,0.0179297
10,3820.13,0.69251,0.54322,0.00823,0.88631,0.879,0.92563,0.73026,0.54611,0.36599,0.00594,0.0537333,0.0179111,0.0537333,0.0179111,0.0537333,0.0179111,0.0537333,0.0179111
